label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11
2	812 mph	0.0504 kg/s	sacramento	REPTILE	0.3522 m^2	56	0.2101	0.9054	578 kg/s	dog	0.3391	426 m^3
2	817 mph	0.2736 kg/s	Modesto	bird	0.2333 m^2	238	0.4489	1.1045	132 kg/s	dog	0.4947	591 m^3
0	397 mph	0.2755 kg/s	San Jose	guinea pig	0.7766 m^2	761	0.8635	0.4515	253 kg/s	reptile	0.9268	-27 m^3
1	908 mph	0.219 kg/s	Irvine	rabbit	0.6577 m^2	631	0.8218	0.0901	612 kg/s	guinea pig	0.1285	429 m^3
0	9 mph	0.2077 kg/s	San Jose	guinea pig	0.8752 m^2	562	0.7052	0.5017	261 kg/s	reptile	0.766	62 m^3
5	0 mph	0.7913 kg/s	San Diego	rat	0.1431 m^2	-167	0.6897	0.8289	572 kg/s	rabbit	0.7919	626 m^3
5	108 mph	1.0099 kg/s	San Jose	rat	0.1433 m^2	-151	0.9826	0.8597	907 kg/s	cat	0.957	907 m^3
4	700 mph	0.6274 kg/s	Bakersfield	chicken	0.5907 m^2	456	0.5165	0.1891	268 kg/s	bird	0.5715	603 m^3
1	1001 mph	0.4767 kg/s	Irvine	Ferret	0.875 m^2	408	0.7458	0.3282	732 kg/s	rabbit	0.0917	240 m^3
2	741 mph	0.0845 kg/s	Modesto	bird	0.3219 m^2	308	0.287	0.9356	401 kg/s	fish	0.5851	839 m^3
2	988 mph	0.063 kg/s	Long Beach	bird	0.1831 m^2	235	0.0948	1.1648	286 kg/s	fish	0.3999	740 m^3
4	572 mph	0.8009 kg/s	Stockton	cat	0.3266 m^2	296	0.4193	0.3299	255 kg/s	pig	0.6192	288 m^3
3	234 mph	0.6971 kg/s	Fremont	dog, pig	0.5617 m^2	1099	0.1547	0.2063	929 kg/s	rat	0.2986	1043 m^3
0	254 mph	0.0037 kg/s	San Jose	rabbit	0.9472 m^2	579	0.9368	0.3804	-35 kg/s	HAMSTER	0.8417	109 m^3
0	170 mph	0.34 kg/s	Fremont	guinea pig	1.3339 m^2	809	0.8583	0.572	329 kg/s	reptile	0.7726	62 m^3
0	298 mph	0.3605 kg/s	Long Beach	GUINEA PIG	1.0692 m^2	957	0.5624	0.5245	51 kg/s	pig	0.491	42 m^3
0	246 mph	0.3715 kg/s	San Jose	rabbit	0.883 m^2	882	0.6881	0.5558	423 kg/s	hamster	0.702	-28 m^3
4	669 mph	0.5861 kg/s	Stockton	chicken	0.3986 m^2	548	0.1808	0.48	352 kg/s	pig	0.5957	245 m^3
4	853 mph	0.5965 kg/s	Santa Clarita	cat	0.4109 m^2	483	0.5073	0.188	283 kg/s	pig	0.753	170 m^3
4	689 mph	0.7898 kg/s	San Jose	chicken	0.7649 m^2	456	0.488	0.3257	385 kg/s	ferret	0.6024	279 m^3
1	994 mph	0.5137 kg/s	Anaheim	ferret	0.8998 m^2	534	0.338	0.2815	471 kg/s	guinea pig	0.1102	480 m^3
1	938 mph	0.4573 kg/s	Fresno	ferret	0.8235 m^2	483	0.5998	0.3599	553 kg/s	guinea pig	0.0958	472 m^3
3	396 mph	0.6396 kg/s	Fremont	pig	0.6274 m^2	1181	0.0105	0.2494	1039 kg/s	rat	0.3396	1023 m^3
3	487 mph	0.3699 kg/s	Fremont	dog, fish	0.7233 m^2	902	0.1809	0.0977	836 kg/s	RAT	0.1181	1232 m^3
1	742 mph	0.2901 kg/s	Anaheim	ferret	0.8497 m^2	511	0.6953	0.3695	351 kg/s	guinea pig	0.0978	649 m^3
2	564 mph	0.1221 kg/s	Sacramento	bird	0.2081 m^2	70	0.5804	0.8048	320 kg/s	fish	0.5779	730 m^3
1	n/a	0.5283 kg/s	Irvine	ferret	0.6555 m^2	538	0.6673	0.3312	447 kg/s	guinea pig	-0.0014	614 m^3
0	198 mph	0.3546 kg/s	San Jose	rabbit	0.7068 m^2	876	0.7585	0.5527	70 kg/s	hamster	0.88	108 m^3
3	171 mph	0.4124 kg/s	Fremont	pig	0.6984 m^2	1160	-0.2135	0.3722	782 kg/s	rat	0.1975	848 m^3
2	714 mph	-0.0949 kg/s	Sacramento	reptile	0.2832 m^2	397	0.5447	1.0117	288 kg/s	fish	0.5282	824 m^3
4	490 mph	0.5347 kg/s	Bakersfield	cat	0.2501 m^2	364	0.297	0.3981	502 kg/s	ferret	0.3016	397 m^3
1	908 mph	0.5243 kg/s	Riverside	ferret	0.7369 m^2	741	0.6653	0.1908	664 kg/s	guinea pig	0.0115	296 m^3
0	218 mph	0.3592 kg/s	San Jose	guinea pig	1.0774 m^2	578	0.7935	0.6482	99 kg/s	reptile	0.8705	289 m^3
3	489 mph	0.3595 kg/s	San Francisco	dog	0.7608 m^2	1107	0.134	0.1349	1063 kg/s	rat	0.2176	943 m^3
4	738 mph	0.4949 kg/s	San Bernardino	chicken	0.4799 m^2	443	0.7928	0.2559	157 kg/s	ferret	0.4167	372 m^3
0	173 mph	0.3068 kg/s	Long Beach	guinea pig	1.1429 m^2	884	0.5326	0.5299	194 kg/s	reptile	0.8333	-162 m^3
4	471 mph	0.8541 kg/s	Bakersfield	cat	0.3903 m^2	495	0.3186	0.3972	139 kg/s	pig	0.5513	395 m^3
4	641 mph	0.456 kg/s	Chula Vista	cat	0.6313 m^2	462	0.3224	0.4401	316 kg/s	ferret	0.6344	310 m^3
0	39 mph	0.3482 kg/s	San Jose	guinea pig	1.0208 m^2	445	0.6888	0.4877	172 kg/s	fish	0.9424	49 m^3
3	492 mph	0.5582 kg/s	San Francisco	dog	0.6523 m^2	838	0.0425	0.2971	1075 kg/s	bird	0.0606	858 m^3
1	977 mph	0.3654 kg/s	Anaheim	ferret	0.6203 m^2	868	0.4333	0.5382	525 kg/s	GUINEA PIG	0.1996	285 m^3
4	841 mph	0.6285 kg/s	Bakersfield	chicken	0.5073 m^2	385	0.424	0.35	405 kg/s	pig	0.5845	345 m^3
3	370 mph	0.6668 kg/s	Fremont	pig	0.6948 m^2	959	0.3328	NULL	1166 kg/s	rat	0.3827	785 m^3
0	201 mph	0.3391 kg/s	San Francisco	rabbit	0.9303 m^2	693	0.6965	0.5788	237 kg/s	reptile	0.6847	-48 m^3
4	617 mph	0.7681 kg/s	Santa Clarita	reptile	0.5821 m^2	411	0.1821	0.3144	410 kg/s	ferret	0.4825	465 m^3
2	639 mph	-0.0012 kg/s	San Diego	reptile	0.1877 m^2	313	0.2218	0.9206	154 kg/s	fish	0.5045	676 m^3
5	114 mph	1.0089 kg/s	Long Beach	hamster	0.1755 m^2	-71	1.066	0.8045	727 kg/s	rabbit	0.8085	752 m^3
4	506 mph	0.7574 kg/s	San Bernardino	chicken	0.5116 m^2	734	0.0694	0.3764	433 kg/s	ferret	0.5519	348 m^3
3	285 mph	0.4145 kg/s	Moreno Valley	dog, fish	0.6482 m^2	889	0.197	0.1439	926 kg/s	rat	0.1974	901 m^3
3	497 mph	0.3229 kg/s	San Francisco	dog, fish	0.8356 m^2	1154	0.2272	0.3248	957 kg/s	reptile	0.2399	1034 m^3
4	531 mph	0.551 kg/s	Bakersfield	chicken	0.1895 m^2	490	0.6053	0.1009	383 kg/s	hamster	0.6509	446 m^3
0	315 mph	0.2348 kg/s	San Jose	guinea pig	1.1727 m^2	751	0.5877	0.6275	269 kg/s	hamster	0.7735	69 m^3
0	268 mph	0.4324 kg/s	Los Angeles	rabbit	0.862 m^2	1055	0.5618	0.7135	128 kg/s	guinea pig	0.6312	152 m^3
3	11 mph	0.4421 kg/s	Fremont	Dog, Fish	0.8114 m^2	1170	0.2607	0.1233	781 kg/s	bird	0.1058	1051 m^3
1	864 mph	0.0777 kg/s	san francisco	ferret	0.8472 m^2	866	0.7589	0.3236	403 kg/s	guinea pig	0.2288	613 m^3
0	299 mph	0.3303 kg/s	San Jose	guinea pig	0.9954 m^2	589	0.6548	0.6172	276 kg/s	reptile	0.8073	116 m^3
0	474 mph	0.3886 kg/s	San Jose	guinea pig	1.0562 m^2	789	0.7448	0.6516	145 kg/s	hamster	0.9105	-62 m^3
3	429 mph	0.4827 kg/s	San Francisco	pig	0.4682 m^2	1047	0.1553	0.0648	596 kg/s	rat	0.2614	849 m^3
3	419 mph	0.6974 kg/s	Sacramento	FISH	0.6944 m^2	1143	-0.0387	0.0897	699 kg/s	rat	0.3263	882 m^3
3	324 mph	0.4977 kg/s	Fremont	pig, fish	0.6827 m^2	1071	0.1188	0.2069	941 kg/s	bird	0.2402	1018 m^3
5	-112 mph	0.5099 kg/s	Oakland	hamster	0.1053 m^2	-68	1.2355	0.8085	882 kg/s	rabbit	0.6961	800 m^3
4	811 mph	0.8978 kg/s	Chula Vista	cat	0.6615 m^2	662	0.2582	0.3784	139 kg/s	ferret	0.5283	408 m^3
2	801 mph	0.1856 kg/s	los angeles	bird	0.2682 m^2	176	0.1492	0.7925	367 kg/s	dog	0.2045	798 m^3
0	387 mph	0.352 kg/s	San Jose	rabbit	1.0084 m^2	801	n/a	0.4742	407 kg/s	hamster	0.9237	-262 m^3
1	908 mph	0.2733 kg/s	Long Beach	ferret	1.1103 m^2	702	0.699	0.5896	708 kg/s	guinea pig	0.3087	314 m^3
1	913 mph	0.4206 kg/s	Irvine	ferret	1.1909 m^2	539	0.5681	0.3933	574 kg/s	guinea pig	0.1728	258 m^3
5	-13 mph	0.9832 kg/s	Oakland	hamster	0.0494 m^2	288	0.8843	0.8372	669 kg/s	cat	0.8387	711 m^3
5	269 mph	1.0584 kg/s	Long Beach	rat	0.1165 m^2	-253	0.8398	1.0071	430 kg/s	rabbit	0.7418	847 m^3
3	437 mph	0.6057 kg/s	San Francisco	pig	0.6076 m^2	995	-0.1244	0.1631	951 kg/s	bird	0.0547	859 m^3
2	773 mph	0.0 kg/s	Los Angeles	bird	0.4435 m^2	320	0.3597	0.9133	615 kg/s	fish	0.6433	677 m^3
4	678 mph	0.4285 kg/s	San Bernardino	cat	0.3384 m^2	509	0.1571	0.0908	366 kg/s	pig	NULL	361 m^3
2	857 mph	0.0431 kg/s	Santa Ana	bird	0.3592 m^2	167	0.3668	0.9416	428 kg/s	fish	0.3759	765 m^3
0	308 mph	0.2444 kg/s	San Jose	rabbit	1.194 m^2	1006	0.6165	0.5474	562 kg/s	reptile	0.8077	33 m^3
4	728 mph	0.5962 kg/s	Bakersfield	chicken	0.5134 m^2	491	0.4898	0.3548	405 kg/s		0.5027	247 m^3
